"Average Weekly Earnings (FTES) Total All Ind. & Both Sexes - Trend Series (Qrtly-Mar/Jun/Sep/Dec)",""
"","Total All Industries"
" ","Total Both Sexes"
" ","Total - Trend Series"
"1989Q1",499.17
"1989Q2",504.77
"1989Q3",511.31
"1989Q4",519.92
"1990Q1",528.79
"1990Q2",536.35
"1990Q3",541.45
"1990Q4",544.83
"1991Q1",547.21
"1991Q2",550.47
"1991Q3",554.22
"1991Q4",558.05
"1992Q1",561.64
"1992Q2",563.96
"1992Q3",565.27
"1992Q4",566.39
"1993Q1",566.52
"1993Q2",566.13
"1993Q3",567.22
"1993Q4",569.30
"1994Q1",573.38
"1994Q2",578.39
"1994Q3",582.62
"1994Q4",585.42
"1995Q1",588.70
"1995Q2",592.56
"1995Q3",596.32
"1995Q4",600.07
"1996Q1",604.47
"1996Q2",608.97
"1996Q3",614.43
"1996Q4",621.06
"1997Q1",627.01
"1997Q2",630.58
"1997Q3",632.71
"1997Q4",634.86
"1998Q1",637.98
"1998Q2",641.90
"1998Q3",646.48
"1998Q4",650.69
"1999Q1",653.92
"1999Q2",657.32
"1999Q3",660.94
"1999Q4",663.59
"2000Q1",665.51
"2000Q2",669.06
"2000Q3",675.13
"2000Q4",681.20
"2001Q1",687.84
"2001Q2",695.50
"2001Q3",701.86
"2001Q4",707.94
"2002Q1",715.07
"2002Q2",722.84
"2002Q3",730.18
"2002Q4",735.93
"2003Q1",739.59
"2003Q2",744.76
"2003Q3",750.77
"2003Q4",756.81
"2004Q1",762.56
"2004Q2",766.30
"2004Q3",770.77
"2004Q4",778.08
"2005Q1",786.60
"2005Q2",793.29
"2005Q3",798.87
"2005Q4",806.15
"2006Q1",816.47
"2006Q2",829.13
"2006Q3",842.13
"2006Q4",852.99
"2007Q1",859.81
"2007Q2",865.38
"2007Q3",872.30
"2007Q4",882.98
"2008Q1",895.47
"2008Q2",907.21
"2008Q3",916.33
"2008Q4",928.11
"2009Q1",940.06
"2009Q2",946.32
"2009Q3",949.26
"2009Q4",951.63
"2010Q1",954.29
"2010Q2",961.83
"2010Q3",975.15
"2010Q4",985.04
"2011Q1",993.89
"2011Q2",1003.62
"2011Q3",1013.05
"2011Q4",1019.21
"2012Q1",1026.47
"2012Q2",1035.78
"2012Q3",1042.46
"2012Q4",1048.68
"2013Q1",1056.69
"2013Q2",1064.47
"2013Q3",1069.43
"2013Q4",1075.53
"2014Q1",1081.30
"2014Q2",1086.33
"2014Q3",1093.42
"2014Q4",1103.59
"2015Q1",1112.96
"2015Q2",1121.05
"2015Q3",1129.94
"2015Q4",1136.07
"2016Q1",1141.03
"2016Q2",1149.07
"2016Q3",1157.15
"2016Q4",1162.21
"2017Q1",1168.68
"2017Q2",1177.31
"2017Q3",1187.35
"2017Q4",1199.55
"2018Q1",1209.73
"2018Q2",1217.10
"2018Q3",1224.70
"2018Q4",1234.62
"2019Q1",1244.27
"2019Q2",1253.01
"2019Q3",1260.62
"2019Q4",1270.04
"2020Q1",1280.10
"2020Q2",1287.37
"2020Q3",1295.72
"2020Q4",1310.85
"2021Q1",1331.97
"2021Q2",1352.82
"2021Q3",1370.33
"2021Q4",1386.85
"2022Q1",1409.67
"2022Q2",1437.21
"2022Q3",1464.82
"2022Q4",1489.38
"2023Q1",1510.43
"2023Q2",1532.79
"2023Q3",1558.22
"2023Q4",1580.44
"2024Q1",1599.04
"Table information:"
"Units:"
"$, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"QEM006AA"
""
"Last updated:"
"01 May 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
